original_sample_id,tumor_purity,ploidy,sample_id
15-108_H2_Liver-Met,0.7865,3.295,15-108_H2_Liver-Met
15-108_J1_Liver-Met,0.7825,3.292,15-108_J1_Liver-Met
15-108_K6_Lung-Met,0.7897,3.312,15-108_K6_Lung-Met
15-108_M6_Lung-Met,0.7732,3.283,15-108_M6_Lung-Met
15-109_H8_Liver-Met,0.4424,2.955,15-109_H8_Liver-Met
15-109_I10_Liver-Met,0.4782,2.944,15-109_I10_Liver-Met
15-109_M2_Ln-Met-,0.6997,3.284,15-109_M2_Ln-Met-
15-109_N1_R-Pelvic-LN,0.5219,3.284,15-109_N1_R-Pelvic-LN
16-070_H7_Liver-Met,0.523,4.126,16-070_H7_Liver-Met
16-070_I4_Liver-Met,0.5092,4.038,16-070_I4_Liver-Met
16-070_L2_Mesintary-Ln-near-pancreas,0.557,4.176,16-070_L2_Mesintary-Ln-near-pancreas
16-070_M1_Periaortic-Ln,0.8538,3.368,16-070_M1_Periaortic-Ln
16-070_S2_Pancrease-Met,0.567,4.159,16-070_S2_Pancrease-Met
16-079_H1_Liver-met,0.6022,3.538,16-079_H1_Liver-met
16-079_I3_Liver-met,0.4688,3.138,16-079_I3_Liver-met
16-079_M1_LN-met,0.6056,3.433,16-079_M1_LN-met
16-079_N3_LN-met,0.3984,2.884,16-079_N3_LN-met
16-079_Q3_instestinal-soft-tissue-met-,0.5656,3.499,16-079_Q3_instestinal-soft-tissue-met-
16-097_G2_Lung-Met,0.6587,3.299,16-097_G2_Lung-Met
16-097_H1_R-Lung-Met,0.6558,3.256,16-097_H1_R-Lung-Met
16-097_J5_Liver-Met,0.5994,3.252,16-097_J5_Liver-Met
16-097_L2_Liver-Met,0.5401,3.282,16-097_L2_Liver-Met
TAN-17-020-G3-FROZEN,0.671,4.116,17-020-G3
TAN-17-020-H4-FROZEN,0.6298,4.049,17-020-H4
TAN-17-020-K1-FROZEN,0.611,4.074,17-020-K1
TAN-17-020-N1-FROZEN,0.7702,3.967,17-020-N1
TAN-17-020-P2-FROZEN,0.7783,3.887,17-020-P2
TAN-17-026-H2-FROZEN,0.5667,3.368,17-026-H2
TAN-17-026-I1-FROZEN,0.4915,3.299,17-026-I1
TAN-17-026-J3-FROZEN,0.5892,3.394,17-026-J3
TAN-17-026-K2-FROZEN,0.4174,3.189,17-026-K2
TAN-17-026-M1-FROZEN,0.2745,2.9,17-026-M1
TAN1-SH-14-526-B5-FFPE,0.6075,3.027,15-108_Primary-FFPE
TAN2-SH-15-2540-B4-B10-FFPE,0.5045,3.076,15-109_Primary-FFPE
TAN3-16-070-N1-FFPE,0.4786,4.044,16-070_Primary-FF
TAN4-16-079-P1-P2-FFPE,0.4946,3.54,16-079_Primary-FFPE
TAN5SH-15-06932-A7-A10-FFPE,0.6077,3.21,16-097_Primary-FFPE
17-030G1,0.5549,2.753,17-030G1
17-030H1,0.7123,2.962,17-030H1
17-030I1,0.6635,2.88,17-030I1
17-030L1,0.6179,2.944,17-030L1
17-030pM9,0.3504,2.288,17-030pM9
17-047G5,0.7072,3.566,17-047G5
17-047I5,0.91099,3.531,17-047I5
17-047pD10,0.4458,2.196,17-047pD10
17-071G6,0.5783,2.024,17-071G6
17-071I2,0.2793,2.028,17-071I2
17-071L1,0.4152,2.03,17-071L1
17-071pB9,0.6222,2.045,17-071pB9
18-016G2,0.5312,3.864,18-016G2
18-016H7,0.5385,3.873,18-016H7
18-065G1,0.7639,4.017,18-065G1
18-065I1,0.4265,3.875,18-065I1
18-065pB2,0.5536,3.962,18-065pB2
18-101G1,0.4982,3.588,18-101G1
18-101K2,0.3826,3.524,18-101K2
18-101M3,0.0878,3.038,18-101M3
18-120H1,0.3002,2.974,18-120H1
18-120J1,0.5554,2.946,18-120J1
18-120L1,0.3166,2.988,18-120L1
18-120pA14,0,2.039,18-120pA14
19-001G4,0.7475,2.735,19-001G4
19-001J4,0.5938,2.796,19-001J4
19-001L1,0.4315,2.773,19-001L1
19-001pA3-U,0.5454,3.05,19-001pA3-U
19-004D2,0.3707,2.678,19-004D2
19-004G3,0.5435,2.842,19-004G3
19-004I1,0.3833,2.613,19-004I1
19-004J1,0.5457,2.698,19-004J1
19-004J1-007,0.3338,2.573,19-004J1-007
19-004L1,0.3904,2.322,19-004L1
19-007D5,0.7074,3.288,19-007D5
19-007H2,0.8221,3.25,19-007H2
19-007K3,0.6732,3.219,19-007K3
19-022H1,0.6082,2.583,19-022H1
19-022I1,0.8484,2.902,19-022I1
19-022N2,0.6696,2.794,19-022N2
19-022pJ13-B,0.5395,3.414,19-022pJ13-B
19-037G3,0.8175,5.424,19-037G3
19-037I2,0.7793,4.739,19-037I2
19-037K9,0.7865,4.711,19-037K9
19-037L2,0.3988,5,19-037L2
19-037P3,0.8681,4.647,19-037P3
19-037pA1-T,0.5658,4.197,19-037pA1-T
19-044G2,0.8951,2.035,19-044G2
19-044I3,0.9212,2.03,19-044I3
19-044J3,0.6505,2.033,19-044J3
19-044K3,0.8013,2.027,19-044K3
19-044N1,0.90606,2.059,19-044N1
19-044pB11,0,2.059,19-044pB11